0,looking_for_bargain,LANDING_PAGE,LANDING_PAGE,DETAIL_PAGE,CATEGORY_PAGE,LANDING_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,4,1,low,one_gender,work,lunch,happy
1,looking_for_bargain,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,SHOPPING_CART,LANDING_PAGE,5,4,low,one_gender,home,lunch,excited
2,does_not_know_what_to_get,LANDING_PAGE,SEARCH_PAGE,DETAIL_PAGE,SEARCH_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,9,11,high,one_gender,travelling,lunch,neutral
3,looking_for_inspiration,CATEGORY_PAGE,PURCHASE,nan,nan,nan,nan,nan,nan,nan,nan,7,11,high,one_gender,work,morning,neutral
4,looking_for_wedding_shopping,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,PURCHASE,3,17,high,one_gender,home,evening,tender
5,does_not_know_what_to_get,LANDING_PAGE,DETAIL_PAGE,CATEGORY_PAGE,SEARCH_PAGE,LANDING_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,SEARCH_PAGE,10,11,high,one_gender,travelling,morning,neutral
6,looking_for_inspiration,BLOG_POST,SEARCH_PAGE,DETAIL_PAGE,DETAIL_PAGE,SEARCH_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,WISH_LIST,8,9,high,one_gender,travelling,morning,neutral
7,looking_for_wedding_shopping,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,PURCHASE,1,16,high,one_gender,home,evening,happy
8,shops_for_family,DETAIL_PAGE,DETAIL_PAGE,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,6,12,medium,both_gender,home,afternoon,neutral
9,does_not_know_what_to_get,LANDING_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,SEARCH_PAGE,CATEGORY_PAGE,SEARCH_PAGE,BLOG_POST,10,12,low,one_gender,work,lunch,angry
10,looking_for_inspiration,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,DETAIL_PAGE,CATEGORY_PAGE,SEARCH_PAGE,SEARCH_PAGE,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,10,12,medium,one_gender,work,morning,neutral
11,looking_for_bargain,LANDING_PAGE,LANDING_PAGE,LANDING_PAGE,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,LANDING_PAGE,DETAIL_PAGE,LANDING_PAGE,CATEGORY_PAGE,4,4,low,one_gender,home,morning,excited
12,looking_for_quality,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SHOPPING_CART,CATEGORY_PAGE,2,3,high,one_gender,home,evening,neutral
13,looking_for_inspiration,CATEGORY_PAGE,PURCHASE,nan,nan,nan,nan,nan,nan,nan,nan,6,10,high,one_gender,travelling,morning,excited
14,looking_for_inspiration,CATEGORY_PAGE,DETAIL_PAGE,WISH_LIST,DETAIL_PAGE,DETAIL_PAGE,SEARCH_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,PURCHASE,7,11,high,one_gender,travelling,lunch,excited
15,looking_for_bargain,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,LANDING_PAGE,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,SHOPPING_CART,SEARCH_PAGE,4,2,low,one_gender,work,morning,excited
16,shops_for_family,DETAIL_PAGE,SHOPPING_CART,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,4,7,medium,both_gender,home,afternoon,neutral
17,looking_for_wedding_shopping,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,PURCHASE,nan,nan,nan,nan,1,15,medium,one_gender,home,evening,happy
18,shops_for_family,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SEARCH_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SEARCH_PAGE,DETAIL_PAGE,5,8,low,both_gender,home,evening,neutral
19,shops_for_family,BLOG_POST,CATEGORY_PAGE,SEARCH_PAGE,SEARCH_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,SEARCH_PAGE,DETAIL_PAGE,5,10,medium,both_gender,home,evening,neutral
20,looking_for_bargain,LANDING_PAGE,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,SHOPPING_CART,LANDING_PAGE,DETAIL_PAGE,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,1,4,low,one_gender,work,morning,excited
21,looking_for_wedding_shopping,CATEGORY_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,WISH_LIST,DETAIL_PAGE,WISH_LIST,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,1,10,high,one_gender,home,evening,tender
22,looking_for_wedding_shopping,WISH_LIST,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,DETAIL_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,1,12,medium,one_gender,home,evening,happy
23,looking_for_wedding_shopping,WISH_LIST,SHOPPING_CART,WISH_LIST,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,3,5,medium,one_gender,home,evening,happy
24,looking_for_quality,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,5,7,high,one_gender,home,evening,neutral
25,looking_for_wedding_shopping,LANDING_PAGE,WISH_LIST,SHOPPING_CART,WISH_LIST,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,WISH_LIST,SHOPPING_CART,2,16,high,one_gender,home,evening,tender
26,does_not_know_what_to_get,LANDING_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,9,13,high,one_gender,work,afternoon,angry
27,looking_for_inspiration,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SEARCH_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,PURCHASE,5,7,medium,one_gender,work,lunch,excited
28,looking_for_quality,DETAIL_PAGE,DETAIL_PAGE,SHOPPING_CART,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SHOPPING_CART,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,2,10,high,one_gender,home,evening,neutral
29,looking_for_quality,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SHOPPING_CART,CATEGORY_PAGE,DETAIL_PAGE,5,7,high,one_gender,home,evening,neutral
30,shops_for_family,SEARCH_PAGE,SEARCH_PAGE,SEARCH_PAGE,CATEGORY_PAGE,SEARCH_PAGE,DETAIL_PAGE,SEARCH_PAGE,DETAIL_PAGE,SHOPPING_CART,PURCHASE,1,15,low,both_gender,home,evening,tender
31,looking_for_quality,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,1,7,high,one_gender,home,evening,neutral
32,looking_for_wedding_shopping,WISH_LIST,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,SHOPPING_CART,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,CATEGORY_PAGE,3,7,high,one_gender,home,evening,happy
33,looking_for_quality,CATEGORY_PAGE,DETAIL_PAGE,SHOPPING_CART,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,2,6,high,one_gender,home,evening,neutral
34,looking_for_bargain,DETAIL_PAGE,LANDING_PAGE,LANDING_PAGE,LANDING_PAGE,DETAIL_PAGE,CATEGORY_PAGE,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,LANDING_PAGE,5,3,low,one_gender,home,lunch,happy
35,does_not_know_what_to_get,LANDING_PAGE,SEARCH_PAGE,SEARCH_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,SEARCH_PAGE,SEARCH_PAGE,DETAIL_PAGE,SEARCH_PAGE,8,9,low,one_gender,work,lunch,angry
36,looking_for_bargain,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,LANDING_PAGE,LANDING_PAGE,DETAIL_PAGE,SHOPPING_CART,PURCHASE,nan,nan,1,2,low,one_gender,work,lunch,happy
37,looking_for_bargain,LANDING_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,SHOPPING_CART,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,SHOPPING_CART,1,2,low,one_gender,home,lunch,excited
38,looking_for_quality,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,3,9,high,one_gender,home,evening,neutral
39,looking_for_inspiration,CATEGORY_PAGE,SEARCH_PAGE,CATEGORY_PAGE,DETAIL_PAGE,WISH_LIST,DETAIL_PAGE,SEARCH_PAGE,SEARCH_PAGE,DETAIL_PAGE,SHOPPING_CART,10,12,low,one_gender,work,lunch,excited
40,looking_for_quality,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SHOPPING_CART,PURCHASE,nan,nan,nan,3,3,high,one_gender,home,evening,neutral
41,looking_for_wedding_shopping,LANDING_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,DETAIL_PAGE,DETAIL_PAGE,WISH_LIST,1,13,high,one_gender,home,evening,happy
42,looking_for_bargain,LANDING_PAGE,DETAIL_PAGE,DETAIL_PAGE,LANDING_PAGE,CATEGORY_PAGE,LANDING_PAGE,CATEGORY_PAGE,LANDING_PAGE,CATEGORY_PAGE,DETAIL_PAGE,2,1,low,one_gender,work,lunch,happy
43,does_not_know_what_to_get,LANDING_PAGE,BLOG_POST,BLOG_POST,SEARCH_PAGE,CATEGORY_PAGE,DETAIL_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,9,18,low,one_gender,work,afternoon,angry
44,does_not_know_what_to_get,LANDING_PAGE,CATEGORY_PAGE,CATEGORY_PAGE,DETAIL_PAGE,SEARCH_PAGE,LANDING_PAGE,DETAIL_PAGE,SEARCH_PAGE,BLOG_POST,BLOG_POST,8,12,medium,one_gender,travelling,lunch,neutral
